59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00    10.19      0.00        5     0.00     0.00  Struct#new
  0.00    10.19      0.00       49     0.00     0.00  Kernel.freeze
  0.00    10.19      0.00        2     0.00     0.00  Fixnum#-@
  0.00    10.19      0.00       85     0.00     0.00  Class#inherited
  0.00    10.19      0.00     2020     0.00     0.00  Fixnum#fdiv
  0.00    10.19      0.00       81     0.00    24.81  Kernel.require
  0.00    10.19      0.00     1011     0.00     0.00  Float#==
  0.00    10.19      0.00      148     0.00     0.00  IO#set_encoding
  0.00    10.19      0.00     1010     0.00     0.00  Float#<=>
  0.00    10.19      0.00       48     0.00     0.00  Module#attr_accessor
  0.00    10.19      0.00      233     0.00     0.00  BasicObject#singleton_method_added
  0.00    10.19      0.00     1011     0.00     0.00  Fixnum#/
  0.00    10.19      0.00       83     0.00     0.00  Hash#empty?
  0.00    10.19      0.00     1009     0.00     0.00  Float#+
  0.00    10.19      0.00        7     0.00     0.00  Array#-
  0.00    10.19      0.00        3     0.00     0.00  Hash#each_pair
  0.00    10.19      0.00        2     0.00     0.00  Object#find_it!
  0.00    10.19      0.00       82     0.00     0.00  Gem.unresolved_deps
  0.00    10.19      0.00        1     0.00     0.00  IO#close
  0.00    10.19      0.00        1     0.00     0.00  CSV#close
  0.00    10.19      0.00        1     0.00  8390.00  CSV#open
  0.00    10.19      0.00        1     0.00  8390.00  CSV#foreach
  0.00    10.19      0.00        1     0.00  8390.00  Enumerator#each
  0.00    10.19      0.00        1     0.00     0.00  Float#divmod
  0.00    10.19      0.00        1     0.00     0.00  Float#>
  0.00    10.19      0.00        1     0.00     0.00  Float#to_s
  0.00    10.19      0.00        1     0.00     0.00  Kernel.inspect
  0.00    10.19      0.00        1     0.00     0.00  Kernel.p
  0.00    10.19      0.00        1     0.00 10190.00  #toplevel
