59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.09    10.45      0.01       17     0.59     0.59  Module#append_features
  0.09    10.46      0.01      134     0.07    10.90  Gem::Specification#load
  0.09    10.47      0.01       81     0.12    25.06  Kernel.require
  0.09    10.48      0.01     1239     0.01     0.01  Symbol#==
  0.09    10.49      0.01      269     0.04     0.04  Gem::Specification#full_name
  0.09    10.50      0.01      860     0.01     0.01  Array#flatten
  0.09    10.51      0.01      907     0.01     0.01  String#strip!
  0.09    10.52      0.01     1032     0.01     0.33  Kernel.Rational
  0.09    10.53      0.01        7     1.43     1.43  String#downcase
  0.09    10.54      0.01      536     0.02     0.02  String#initialize_copy
  0.09    10.55      0.01      359     0.03     0.06  Array#include?
  0.09    10.56      0.01     3037     0.00     0.00  Rational#/
  0.09    10.57      0.01      135     0.07     0.07  Gem::Specification#installation_path
  0.09    10.58      0.01     1016     0.01     0.01  MatchData#post_match
  0.09    10.59      0.01     3045     0.00     0.00  Rational#*
  0.09    10.60      0.01     2020     0.00     0.00  Fixnum#fdiv
  0.09    10.61      0.01        1    10.00    10.00  Kernel.p
  0.00    10.61      0.00       19     0.00     0.00  Encoding#name
  0.00    10.61      0.00      505     0.00     0.00  Array#uniq!
  0.00    10.61      0.00      504     0.00     0.00  Array#compact!
  0.00    10.61      0.00        7     0.00     0.00  Gem::Specification#required_attribute
  0.00    10.61      0.00        7     0.00     1.43  Gem::Requirement#default
  0.00    10.61      0.00       10     0.00     0.00  Gem::Specification#array_attribute
  0.00    10.61      0.00        1     0.00     0.00  Gem::Specification#read_only
  0.00    10.61      0.00        5     0.00     0.00  Gem::Specification#attribute_alias_singular
  0.00    10.61      0.00       14     0.00     0.00  Module#method_removed
  0.00    10.61      0.00       14     0.00     0.00  Module#remove_method
  0.00    10.61      0.00       14     0.00     0.00  Gem::Specification#overwrite_accessor
  0.00    10.61      0.00        3     0.00     0.00  ENV.[]
  0.00    10.61      0.00        5     0.00     0.00  Array#compact
  0.00    10.61      0.00       21     0.00     0.00  Gem::Specification#attribute
  0.00    10.61      0.00        1     0.00     0.00  Gem.set_home
  0.00    10.61      0.00        1     0.00     0.00  Gem.dir
  0.00    10.61      0.00        1     0.00     0.00  Gem.set_paths
  0.00    10.61      0.00        1     0.00     0.00  Gem.path
  0.00    10.61      0.00      223     0.00     0.00  File#join
  0.00    10.61      0.00        2     0.00     0.00  Array#collect
  0.00    10.61      0.00        1     0.00     0.00  Gem::SourceIndex#installed_spec_directories
  0.00    10.61      0.00       70     0.00     0.00  Hash#each
  0.00    10.61      0.00        1     0.00     0.00  Gem::SourceIndex#initialize
  0.00    10.61      0.00        1     0.00     0.00  Hash#clear
  0.00    10.61      0.00        1     0.00     0.00  Dir#glob
  0.00    10.61      0.00      136     0.00     0.00  File#file?
  0.00    10.61      0.00      327     0.00     0.00  Hash#[]=
  0.00    10.61      0.00       31     0.00     0.00  String#intern
  0.00    10.61      0.00        1     0.00     0.00  Time#-
  0.00    10.61      0.00      270     0.00     0.00  Kernel.untaint
  0.00    10.61      0.00        1     0.00     0.00  Fixnum#%
  0.00    10.61      0.00      134     0.00     0.00  Kernel.binding
  0.00    10.61      0.00        1     0.00     0.00  Time#gmt_offset
  0.00    10.61      0.00      135     0.00     0.00  Bignum#<=>
  0.00    10.61      0.00      273     0.00     0.00  Fixnum#<=>
  0.00    10.61      0.00     1609     0.00     0.00  Array#initialize_copy
  0.00    10.61      0.00      268     0.00     0.00  Kernel.initialize_copy
  0.00    10.61      0.00      134     0.00     4.85  Gem::Specification#assign_defaults
  0.00    10.61      0.00        1     0.00     0.00  Time#at
  0.00    10.61      0.00        2     0.00     0.00  Time#to_i
  0.00    10.61      0.00      137     0.00     0.00  Fixnum#divmod
  0.00    10.61      0.00      134     0.00     0.00  Gem::Version#prerelease?
  0.00    10.61      0.00        1     0.00     0.00  Time#now
  0.00    10.61      0.00        1     0.00     0.00  Time#initialize
  0.00    10.61      0.00       22     0.00     0.00  Hash#keys
  0.00    10.61      0.00     3259     0.00     0.00  String#to_i
  0.00    10.61      0.00        1     0.00     0.00  Module#autoload
  0.00    10.61      0.00        2     0.00     0.00  String#end_with?
  0.00    10.61      0.00      134     0.00     0.00  String#strip
  0.00    10.61      0.00      270     0.00     0.00  String#gsub
  0.00    10.61      0.00        1     0.00     0.00  Exception#message
  0.00    10.61      0.00        1     0.00     0.00  Exception#to_s
  0.00    10.61      0.00      275     0.00     0.00  String#scan
  0.00    10.61      0.00        1     0.00     0.00  Exception#set_backtrace
  0.00    10.61      0.00      277     0.00     0.00  Array#size
  0.00    10.61      0.00      141     0.00     0.00  Fixnum#>
  0.00    10.61      0.00        1     0.00     0.00  Exception#backtrace
  0.00    10.61      0.00      551     0.00     0.00  Array#[]
  0.00    10.61      0.00        1     0.00     0.00  Exception#exception
  0.00    10.61      0.00        1     0.00     0.00  Exception#initialize
  0.00    10.61      0.00      134     0.00     0.82  Comparable.>=
  0.00    10.61      0.00       18     0.00     0.00  Kernel.lambda
  0.00    10.61      0.00        1     0.00     0.00  Encoding#find
  0.00    10.61      0.00        3     0.00     0.00  Forwardable.def_instance_delegators
  0.00    10.61      0.00       38     0.00     0.00  Forwardable.def_instance_delegator
  0.00    10.61      0.00      134     0.00     0.00  Gem::SourceIndex#add_spec
  0.00    10.61      0.00        8     0.00     0.00  Gem::Specification#requirements=
  0.00    10.61      0.00        1     0.00     0.00  Module#attr_writer
  0.00    10.61      0.00      380     0.00     0.00  Array#last
  0.00    10.61      0.00      337     0.00     0.00  Array#pop
  0.00    10.61      0.00      361     0.00     0.00  Array#length
  0.00    10.61      0.00       45     0.00     0.00  Regexp#quote
  0.00    10.61      0.00        6     0.00     0.00  Array#delete
  0.00    10.61      0.00      337     0.00     0.00  Gem::Specification#dependencies
  0.00    10.61      0.00       29     0.00     0.00  Module#attr_reader
  0.00    10.61      0.00      123     0.00     0.73  Gem::Specification#add_runtime_dependency
  0.00    10.61      0.00       86     0.00     0.12  Gem::Specification#extra_rdoc_files=
  0.00    10.61      0.00       80     0.00     0.00  Gem::Specification#rdoc_options=
  0.00    10.61      0.00      213     0.00     0.75  Gem::Specification#add_development_dependency
  0.00    10.61      0.00       45     0.00     0.00  Gem::Specification#executables=
  0.00    10.61      0.00       22     0.00     0.00  Gem::Specification#extensions=
  0.00    10.61      0.00        6     0.00     0.00  Gem::Specification#licenses=
  0.00    10.61      0.00       11     0.00     0.00  String#===
